,percentile,age,survival_rate,death_rate
426,15-20%,6,0.9951665098559642,0.00010752677472436467
427,15-20%,7,0.9950589830812399,9.34691867862103e-05
428,15-20%,8,0.9949655138944536,8.372502281406291e-05
429,15-20%,9,0.9948817888716396,7.884262199964187e-05
430,15-20%,10,0.9948029462496399,7.883637386141285e-05
431,15-20%,11,0.9947241098757785,8.042260040241889e-05
432,15-20%,12,0.9946436872753761,8.624692333480954e-05
433,15-20%,13,0.9945574403520413,0.00010428501386050559
434,15-20%,14,0.9944531553381808,0.0001325583343073644
435,15-20%,15,0.9943205970038734,0.00017018558207071433
436,15-20%,16,0.9941504114218027,0.00021848521111444974
437,15-20%,17,0.9939319262106883,0.00029485937082962543
438,15-20%,18,0.9936370668398586,0.0003900214860690365
439,15-20%,19,0.9932470453537896,0.0004809720854318522
440,15-20%,20,0.9927660732683578,0.0005444153661549045
441,15-20%,21,0.9922216579022028,0.0005766726794704802
442,15-20%,22,0.9916449852227324,0.0006111001809617767
443,15-20%,23,0.9910338850417706,0.0006479723123362646
444,15-20%,24,0.9903859127294343,0.0006876038977564614
445,15-20%,25,0.9896983088316779,0.0007303562588701906
446,15-20%,26,0.9889679525728077,0.0007766444833845476
447,15-20%,27,0.9881913080894231,0.000826946086796343
448,15-20%,28,0.9873643620026268,0.0008818107953311172
449,15-20%,29,0.9864825512072957,0.0009418677763211036
450,15-20%,30,0.9855406834309746,0.0010078412606079334
451,15-20%,31,0.9845328421703666,0.0010805702483182023
452,15-20%,32,0.9834522719220484,0.0011610292869530525
453,15-20%,33,0.9822912426350954,0.0012503534937782224
454,15-20%,34,0.9810408891413172,0.0013498688009265791
455,15-20%,35,0.9796910203403906,0.0014611286033369142
456,15-20%,36,0.9782298917370537,0.0015859277314003162
457,15-20%,37,0.9766439640056533,0.0017260000750938254
458,15-20%,38,0.9749179639305595,0.0018830608636578594
459,15-20%,39,0.9730349030669017,0.002058997934023421
460,15-20%,40,0.9709759051328782,0.0022558821601627033
461,15-20%,41,0.9687200229727155,0.002475972118350822
462,15-20%,42,0.9662440508543647,0.002721715139419545
463,15-20%,43,0.9635223357149452,0.0029957435021708
464,15-20%,44,0.9605265922127744,0.0033008403118977014
465,15-20%,45,0.9572257519008767,0.003639563823134684
466,15-20%,46,0.953586188077742,0.004014134044259321
467,15-20%,47,0.9495720540334827,0.00442652262413723
468,15-20%,48,0.9451455314093454,0.004878327669242455
469,15-20%,49,0.940267203740103,0.005370621508626883
470,15-20%,50,0.9348965822314761,0.00590377838191547
471,15-20%,51,0.9289928038495606,0.00647728583641094
472,15-20%,52,0.9225155180131497,0.007089561684866963
473,15-20%,53,0.9154259563282827,0.007738045360042967
474,15-20%,54,0.9076879109682398,0.008419094526190496
475,15-20%,55,0.8992688164420493,0.00912765377600444
476,15-20%,56,0.8901411626660448,0.009857138682695
477,15-20%,57,0.8802840239833498,0.010599375802503808
478,15-20%,58,0.869684648180846,0.011344606994785345
479,15-20%,59,0.8583400411860607,0.012081572413333297
480,15-20%,60,0.8462584687727274,0.012797905341504046
481,15-20%,61,0.8334605634312233,0.013485595053451482
482,15-20%,62,0.8199749683777718,0.014142537267631039
483,15-20%,63,0.8058324311101408,0.01476822263304689
484,15-20%,64,0.7910642084770939,0.015363481432169812
485,15-20%,65,0.7757007270449241,0.015930403334139864
486,15-20%,66,0.7597703237107842,0.01647223049577229
487,15-20%,67,0.743298093215012,0.01699323435915212
488,15-20%,68,0.7263048588558598,0.017498661829595363
489,15-20%,69,0.7088061970262645,0.017996948563664183
490,15-20%,70,0.6908092484626003,0.018500269558891613
491,15-20%,71,0.6723089789037087,0.019021934688503217
492,15-20%,72,0.6532870442152054,0.01957614869075286
493,15-20%,73,0.6337108955244526,0.02017797812213229
494,15-20%,74,0.6135329174023203,0.02084335800105097
495,15-20%,75,0.5926895594012693,0.021589112116233378
496,15-20%,76,0.571100447285036,0.02243265363565916
497,15-20%,77,0.5486677936493768,0.023379145256583356
498,15-20%,78,0.5252886483927934,0.024414009742359744
499,15-20%,79,0.5008746386504337,0.025516453295270414
500,15-20%,80,0.4753581853551633,0.02665925136942654
501,15-20%,81,0.44869893398573674,0.027807411309201058
502,15-20%,82,0.4208915226765357,0.02891707761729506
503,15-20%,83,0.3919744450592406,0.02993492195329417
